deployment_priority,zone_name,police_station,risk_tier_v5,congestion_score_v5,daily_rate,blockage_pct,patrol_type,officer_count,tow_unit,shift_window,expected_impact,deployment_note,context_tags,near_metro,near_event_venue,metro_dist_m,event_dist_m,enforcement_shift,is_corridor
86,"Aurobindo Circle, ORR",Jayanagara,MEDIUM,47.7,2.2,21.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5047.0,1792.0,Evening + night (7pm–midnight),False
87,Safina Plaza Junction,Cubbon Park,MEDIUM,47.2,3.7,15.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Event venue,False,True,517.0,447.0,Mixed / daytime,True
88,Adugodi area,Adugodi,MEDIUM,46.2,2.4,14.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Event venue,False,True,623.0,296.0,Evening + night (7pm–midnight),False
89,Kodigehalli area,Kodigehalli,MEDIUM,45.8,3.3,24.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1584.0,3233.0,Mixed / daytime,True
90,Chikkajala area,Chikkajala,MEDIUM,45.8,5.0,27.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,9273.0,10215.0,Evening + night (7pm–midnight),True
91,Rajajinagar area,Rajajinagar,MEDIUM,45.7,3.2,30.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5851.0,3472.0,Evening + night (7pm–midnight),True
92,Kodigehalli area,Kodigehalli,MEDIUM,45.6,36.3,9.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3067.0,4704.0,Evening + night (7pm–midnight),True
93,Havanur Circle,Vijayanagara,MEDIUM,45.6,9.1,16.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4090.0,3162.0,Evening + night (7pm–midnight),True
94,Yediyur Junction,Basavanagudi,MEDIUM,45.2,3.9,23.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4120.0,3308.0,Late night (11pm–4am),False
95,Peenya area,Peenya,MEDIUM,45.2,2.6,18.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,9760.0,6548.0,Evening + night (7pm–midnight),False
96,Kodigehalli area,Kodigehalli,MEDIUM,44.5,9.8,14.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2334.0,3035.0,Late night (11pm–4am),True
97,HSR Layout area,HSR Layout,MEDIUM,44.4,2.2,19.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,911.0,1590.0,Evening + night (7pm–midnight),True
98,K.R. Pura area,K.R. Pura,MEDIUM,44.4,14.1,18.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3438.0,1477.0,Evening + night (7pm–midnight),True
99,"10th Cross, Wilson Garden",Wilson Garden,MEDIUM,44.0,3.9,14.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2835.0,2856.0,Evening + night (7pm–midnight),True
100,Nanjappa Circle,Ashok Nagar,MEDIUM,43.9,15.2,9.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,949.0,1146.0,Late night (11pm–4am),True
101,"9th Cross, Kanakapura Road",J.P. Nagar,MEDIUM,43.6,3.5,20.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6240.0,3133.0,Late night (11pm–4am),True
102,R.T. Nagar area,R.T. Nagar,MEDIUM,43.3,8.9,15.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Metro zone,True,False,395.0,894.0,Evening + night (7pm–midnight),True
103,"Rajalakshmi Kalyana Mantapa, JP Nagar",Jayanagara,MEDIUM,43.2,3.0,20.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5732.0,2480.0,Late night (11pm–4am),True
104,Madiwala Traffic PS Junction,Madiwala,MEDIUM,43.2,2.9,19.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1014.0,797.0,Evening + night (7pm–midnight),True
105,Jeevanbheemanagar area,Jeevanbheemanagar,MEDIUM,42.8,2.9,21.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1982.0,620.0,Evening + night (7pm–midnight),True
106,Nayandahalli Junction,Byatarayanapura,MEDIUM,42.4,7.8,38.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6328.0,7569.0,Evening + night (7pm–midnight),False
107,Bellandur area,Bellandur,MEDIUM,42.3,6.6,17.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2574.0,1362.0,Evening + night (7pm–midnight),True
108,"9th Cross, 24th Main, JP Nagar",J.P. Nagar,MEDIUM,42.3,3.5,18.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4883.0,1768.0,Evening + night (7pm–midnight),True
109,Mahalaxmi Layout Entrance,Rajajinagar,MEDIUM,41.7,3.5,17.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4803.0,1394.0,Evening + night (7pm–midnight),True
110,Adugodi area,Adugodi,MEDIUM,41.4,3.3,17.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,989.0,703.0,Evening + night (7pm–midnight),False
111,Kodigehalli area,Kodigehalli,MEDIUM,41.3,2.4,25.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2811.0,4061.0,Evening + night (7pm–midnight),False
112,Sadashivanagar area,Sadashivanagar,MEDIUM,41.1,4.3,22.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1484.0,1836.0,Late night (11pm–4am),True
113,Yeshwanthpura area,Yeshwanthpura,MEDIUM,40.9,5.0,13.8,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5779.0,2362.0,Evening + night (7pm–midnight),True
114,HSR Layout area,HSR Layout,MEDIUM,40.5,2.7,22.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2228.0,2666.0,Evening + night (7pm–midnight),True
115,Whitefield area,Whitefield,MEDIUM,39.8,2.4,18.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6012.0,5070.0,Evening + night (7pm–midnight),False
116,Whitefield area,Whitefield,MEDIUM,38.5,8.7,21.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2452.0,1721.0,Late night (11pm–4am),True
117,Chikkabanavara area,Chikkabanavara,MEDIUM,38.0,2.0,22.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,9772.0,7194.0,Evening + night (7pm–midnight),False
118,Jalahalli area,Jalahalli,MEDIUM,37.8,3.6,15.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4873.0,4472.0,Late night (11pm–4am),False
119,Banaswadi area,Banaswadi,MEDIUM,37.5,1.8,21.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3353.0,1926.0,Evening + night (7pm–midnight),False
120,Electronic City area,Electronic City,MEDIUM,36.8,14.4,14.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4267.0,7202.0,Mixed / daytime,True
121,"East End Main Road, Jayanagar",Jayanagara,MEDIUM,36.7,5.2,17.4,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3814.0,620.0,Late night (11pm–4am),True
122,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),MEDIUM,36.7,3.3,17.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1170.0,2287.0,Evening + night (7pm–midnight),True
123,"9th Cross, 4th Main, Jayanagar",Wilson Garden,MEDIUM,36.7,8.8,10.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3808.0,2729.0,Evening + night (7pm–midnight),True
124,Prakash Nagar Junction,Rajajinagar,MEDIUM,36.4,6.1,16.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2462.0,2079.0,Evening + night (7pm–midnight),True
125,Jalahalli area,Jalahalli,MEDIUM,35.9,2.9,18.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5614.0,5263.0,Evening + night (7pm–midnight),False
126,Kodigehalli area,Kodigehalli,MEDIUM,35.5,8.4,21.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2200.0,3819.0,Mixed / daytime,True
127,Sheshadripuram area,Sheshadripuram,MEDIUM,34.4,10.0,12.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2416.0,1770.0,Late night (11pm–4am),True
128,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),MEDIUM,34.2,5.4,23.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2521.0,3126.0,Late night (11pm–4am),True
129,Siddapura Junction,Wilson Garden,MEDIUM,33.7,5.5,17.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2892.0,2865.0,Late night (11pm–4am),True
130,Byatarayanapura area,Byatarayanapura,MEDIUM,33.6,4.7,14.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7577.0,8621.0,Evening + night (7pm–midnight),True
131,Lalbagh West Gate,Basavanagudi,MEDIUM,33.5,4.7,14.4,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3014.0,2830.0,Late night (11pm–4am),True
132,Yeshwanthpura area,Yeshwanthpura,MEDIUM,33.0,7.5,15.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4259.0,2569.0,Late night (11pm–4am),True
133,Byatarayanapura area,Byatarayanapura,MEDIUM,32.3,6.0,16.4,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6339.0,7184.0,Mixed / daytime,True
134,J.P. Nagar area,J.P. Nagar,MEDIUM,31.9,4.3,14.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3476.0,2401.0,Late night (11pm–4am),True
135,Kamakshipalya area,Kamakshipalya,MEDIUM,31.7,4.3,11.8,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7916.0,6342.0,Evening + night (7pm–midnight),True
136,Electronic City area,Electronic City,MEDIUM,31.5,7.7,17.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1394.0,4767.0,Mixed / daytime,True
137,"9th Cross, 4th Main, Jayanagar",Basavanagudi,MEDIUM,30.9,3.4,18.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3979.0,3078.0,Late night (11pm–4am),True
138,Anepalya Junction,Ashok Nagar,MEDIUM,30.8,4.0,21.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2141.0,2541.0,Evening + night (7pm–midnight),False
139,Thalagattapura area,Thalagattapura,MEDIUM,30.7,4.3,11.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7410.0,5249.0,Mixed / daytime,True
140,"10th Cross, Wilson Garden",Wilson Garden,MEDIUM,30.7,3.7,17.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2324.0,2496.0,Evening + night (7pm–midnight),True
141,Yelahanka area,Yelahanka,MEDIUM,30.6,4.2,17.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6402.0,8013.0,Late night (11pm–4am),False
142,K.S. Layout area,K.S. Layout,MEDIUM,30.5,3.0,24.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7871.0,5566.0,Mixed / daytime,True
143,Hosur-Tavarkere Road Junction,Mico Layout,MEDIUM,29.9,4.9,9.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2640.0,1358.0,Evening + night (7pm–midnight),True
144,Banaswadi area,Banaswadi,MEDIUM,29.0,8.8,12.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1946.0,2102.0,Mixed / daytime,True
145,Electronic City area,Electronic City,MEDIUM,28.9,4.0,14.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6117.0,10416.0,Late night (11pm–4am),False
146,Bellandur area,Bellandur,MEDIUM,28.5,2.5,19.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5068.0,3159.0,Mixed / daytime,False
147,Nayandahalli Junction,Byatarayanapura,MEDIUM,28.4,4.7,20.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6695.0,7750.0,Evening + night (7pm–midnight),False
148,Kamakshipalya area,Kamakshipalya,MEDIUM,28.4,2.3,16.7,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7308.0,5786.0,Evening + night (7pm–midnight),False
149,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),MEDIUM,27.8,4.5,17.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1401.0,1492.0,Evening + night (7pm–midnight),True
150,"16th Main Road, BTM Layout",Mico Layout,MEDIUM,27.7,10.7,14.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Event venue,False,True,2667.0,570.0,Evening + night (7pm–midnight),True
151,"16th Main Road, BTM Layout",Mico Layout,MEDIUM,27.7,2.4,21.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2225.0,1033.0,Mixed / daytime,True
152,GD Mara Junction,Mico Layout,MEDIUM,27.6,10.3,9.8,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3292.0,914.0,Late night (11pm–4am),True
153,HSR Layout area,HSR Layout,MEDIUM,27.5,2.7,11.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2088.0,2689.0,Evening + night (7pm–midnight),True
154,Bellandur area,Bellandur,MEDIUM,27.1,6.1,18.4,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4788.0,2312.0,Evening + night (7pm–midnight),False
155,Windsor Circle,Sheshadripuram,MEDIUM,27.0,5.7,12.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,985.0,1658.0,Late night (11pm–4am),False
156,Vasavi Circle,V.V.Puram (C.Pet),MEDIUM,26.8,3.0,16.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3030.0,2860.0,Evening + night (7pm–midnight),False
157,Jeevanbheemanagar area,Jeevanbheemanagar,MEDIUM,26.4,7.5,24.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1067.0,1391.0,Late night (11pm–4am),True
158,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),MEDIUM,26.0,3.2,15.8,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2550.0,2466.0,Evening + night (7pm–midnight),True
159,"36th Cross, 4th Main, Jayanagar",Jayanagara,MEDIUM,25.9,3.9,10.8,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5409.0,2169.0,Late night (11pm–4am),True
160,Banashankari area,Banashankari,LOW,24.4,6.0,9.0,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,6189.0,6971.0,Late night (11pm–4am),True
161,K.R. Pura area,K.R. Pura,LOW,24.0,3.5,10.2,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,3366.0,3042.0,Late night (11pm–4am),False
162,HSR Layout area,HSR Layout,LOW,23.6,7.4,17.2,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,1146.0,2064.0,Evening + night (7pm–midnight),True
163,Katriguppe Junction,Banashankari,LOW,22.9,7.4,11.5,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,6149.0,5493.0,Evening + night (7pm–midnight),True
164,Hulimavu area,Hulimavu,LOW,22.4,8.7,11.6,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,3838.0,4484.0,Evening + night (7pm–midnight),True
165,HAL Old Airport area,HAL Old Airport,LOW,21.9,11.6,14.7,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,1934.0,1714.0,Late night (11pm–4am),True
166,K.S. Layout area,K.S. Layout,LOW,21.8,2.7,17.3,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,8442.0,6225.0,Mixed / daytime,True
167,Banaswadi area,Banaswadi,LOW,21.0,4.5,12.4,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,4637.0,1168.0,Mixed / daytime,True
168,Banaswadi area,Banaswadi,LOW,20.2,17.7,16.6,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,1678.0,1678.0,Late night (11pm–4am),False
169,Mahadevapura area,Mahadevapura,LOW,19.7,12.3,8.6,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,2152.0,1385.0,Evening + night (7pm–midnight),True
170,Electronic City area,Electronic City,LOW,19.4,8.0,13.2,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,3492.0,7950.0,Evening + night (7pm–midnight),True
171,Whitefield area,Whitefield,LOW,18.4,7.2,20.3,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,1737.0,1983.0,Evening + night (7pm–midnight),False
172,Yelahanka area,Yelahanka,LOW,18.3,7.7,10.4,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,5419.0,7117.0,Evening + night (7pm–midnight),True
173,VV Puram College,V.V.Puram (C.Pet),LOW,17.2,3.6,18.3,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,2721.0,2556.0,Mixed / daytime,False
174,Yelahanka area,Yelahanka,LOW,16.0,5.0,11.3,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,6146.0,7829.0,Evening + night (7pm–midnight),False
175,Kodigehalli area,Kodigehalli,LOW,15.7,5.8,14.7,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,2454.0,2543.0,Evening + night (7pm–midnight),False
176,Jalahalli area,Jalahalli,LOW,15.6,8.6,7.5,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,7788.0,5512.0,Late night (11pm–4am),True
177,Chikkajala area,Chikkajala,LOW,14.9,5.8,16.4,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,11236.0,12792.0,Evening + night (7pm–midnight),False
178,Kamakshipalya area,Kamakshipalya,LOW,14.2,7.2,9.0,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,5971.0,4766.0,Evening + night (7pm–midnight),False
179,Kodigehalli area,Kodigehalli,LOW,13.4,7.6,11.7,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,1135.0,2769.0,Evening + night (7pm–midnight),False
180,Peenya area,Peenya,LOW,10.8,9.1,10.0,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,10488.0,7273.0,Late night (11pm–4am),False
181,Hennuru area,Hennuru,LOW,9.6,2.7,13.9,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,6093.0,6045.0,Mixed / daytime,False
182,Whitefield area,Whitefield,LOW,8.7,15.3,7.8,No deployment,0,False,—,Negligible,Monitor via camera only,Event venue,False,True,3009.0,147.0,Evening + night (7pm–midnight),False
183,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),LOW,7.6,10.2,16.7,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,2941.0,2737.0,Evening + night (7pm–midnight),True
184,Attiguppe Circle,Byatarayanapura,LOW,0.0,37.7,8.6,No deployment,0,False,—,Negligible,Monitor via camera only,General,False,False,5245.0,6320.0,Mixed / daytime,True
